nav.bearing,nav.cmdYaw,nav.snr,wpNav.state,wpNav.wpIdx,nav.gradAng,nav.gradR2,wlsCtrl.mapSize,timestamp_ms,stateEstimate.x,stateEstimate.y,nav.snr0,nav.snr1,nav.snr2,nav.snr3,nav.snr4,nav.snr5,nav.snr6,nav.snr7
15.518582344055176,16.495880126953125,1.450499176979065,0,0,91.99150848388672,0.014385759830474854,16,27322,1.793829083442688,-0.00693597411736846,105,128,102,117,120,125,145,94
15.518582344055176,16.495880126953125,1.450499176979065,0,0,91.99150848388672,0.014385759830474854,16,27422,1.8338043689727783,-0.00789482332766056,105,128,102,117,120,125,145,94
15.518582344055176,16.495880126953125,1.450499176979065,0,0,91.99150848388672,0.014385759830474854,16,27522,1.879288673400879,-0.009283204562962055,105,128,102,117,120,125,145,94
15.518582344055176,16.495880126953125,1.450499176979065,0,0,91.99150848388672,0.014385759830474854,16,27621,1.9227317571640015,-0.002664965810254216,105,128,102,117,120,125,145,94
15.518582344055176,16.495880126953125,1.450499176979065,0,0,91.99150848388672,0.014385759830474854,16,27721,1.9718027114868164,-0.0009575693402439356,105,128,102,117,120,125,145,94
21.437782287597656,35.51456832885742,2.375805139541626,0,0,92.74402618408203,0.0092390775680542,17,27821,2.021514892578125,-0.0006085248896852136,97,154,121,158,86,134,237,105
21.437782287597656,35.51456832885742,2.375805139541626,0,0,92.74402618408203,0.0092390775680542,17,27921,2.0592257976531982,-0.0004494103486649692,97,154,121,158,86,134,237,105
21.437782287597656,35.51456832885742,2.375805139541626,0,0,92.74402618408203,0.0092390775680542,17,28021,2.09965443611145,-0.003979192581027746,97,154,121,158,86,134,237,105
21.437782287597656,35.51456832885742,2.375805139541626,0,0,92.74402618408203,0.0092390775680542,17,28121,2.1439642906188965,-0.008342270739376545,97,154,121,158,86,134,237,105
21.437782287597656,35.51456832885742,2.375805139541626,0,0,92.74402618408203,0.0092390775680542,17,28221,2.1823151111602783,-0.00892074778676033,97,154,121,158,86,134,237,105
34.60590362548828,66.32637023925781,3.7504148483276367,0,0,82.84395599365234,0.4233522415161133,18,28321,2.216803550720215,-0.012378484010696411,130,135,139,191,119,159,375,170
34.60590362548828,66.32637023925781,3.7504148483276367,0,0,82.84395599365234,0.4233522415161133,18,28421,2.2609806060791016,-0.011080427095293999,130,135,139,191,119,159,375,170
34.60590362548828,66.32637023925781,3.7504148483276367,0,0,82.84395599365234,0.4233522415161133,18,28521,2.294790267944336,-0.009239988401532173,130,135,139,191,119,159,375,170
34.60590362548828,66.32637023925781,3.7504148483276367,0,0,82.84395599365234,0.4233522415161133,18,28621,2.3316736221313477,-0.002864415990188718,130,135,139,191,119,159,375,170
34.60590362548828,66.32637023925781,3.7504148483276367,0,0,82.84395599365234,0.4233522415161133,18,28721,2.3707664012908936,0.0009326527360826731,130,135,139,191,119,159,375,170
34.60590362548828,66.32637023925781,3.7504148483276367,0,0,82.84395599365234,0.4233522415161133,18,28821,2.4057250022888184,0.0076539949513971806,130,135,139,191,119,159,375,170
45.175567626953125,-8.98770809173584,4.495568752288818,0,0,271.902587890625,0.6674138307571411,19,28921,2.437631130218506,0.01085266750305891,88,113,129,129,114,85,449,295
45.175567626953125,-8.98770809173584,4.495568752288818,0,0,271.902587890625,0.6674138307571411,19,29021,2.4725399017333984,0.015765659511089325,88,113,129,129,114,85,449,295
45.175567626953125,-8.98770809173584,4.495568752288818,0,0,271.902587890625,0.6674138307571411,19,29121,2.5075912475585938,0.018077226355671883,88,113,129,129,114,85,449,295
45.175567626953125,-8.98770809173584,4.495568752288818,0,0,271.902587890625,0.6674138307571411,19,29221,2.539905309677124,0.017896393314003944,88,113,129,129,114,85,449,295
45.175567626953125,-8.98770809173584,4.495568752288818,0,0,271.902587890625,0.6674138307571411,19,29321,2.5733609199523926,0.0157887265086174,88,113,129,129,114,85,449,295
54.141300201416016,80.6357650756836,6.006393909454346,0,0,85.51564025878906,0.741518497467041,20,29421,2.6031835079193115,0.008895310573279858,105,116,116,135,187,131,600,267
54.141300201416016,80.6357650756836,6.006393909454346,0,0,85.51564025878906,0.741518497467041,20,29521,2.630997657775879,0.005777502432465553,105,116,116,135,187,131,600,267
54.141300201416016,80.6357650756836,6.006393909454346,0,0,85.51564025878906,0.741518497467041,20,29621,2.658071517944336,0.00542157469317317,105,116,116,135,187,131,600,267
54.141300201416016,80.6357650756836,6.006393909454346,0,0,85.51564025878906,0.741518497467041,20,29721,2.6836585998535156,0.007570660673081875,105,116,116,135,187,131,600,267
54.141300201416016,80.6357650756836,6.006393909454346,0,0,85.51564025878906,0.741518497467041,20,29821,2.7038657665252686,0.015411226078867912,105,116,116,135,187,131,600,267
62.32075119018555,84.34925079345703,11.591859817504883,0,0,87.48960876464844,0.7664483785629272,21,29921,2.7290806770324707,0.0195069070905447,168,130,179,130,344,121,1159,333
62.32075119018555,84.34925079345703,11.591859817504883,0,0,87.48960876464844,0.7664483785629272,21,30021,2.751016855239868,0.02216232568025589,168,130,179,130,344,121,1159,333
62.32075119018555,84.34925079345703,11.591859817504883,0,0,87.48960876464844,0.7664483785629272,21,30121,2.7673285007476807,0.022592322900891304,168,130,179,130,344,121,1159,333
62.32075119018555,84.34925079345703,11.591859817504883,0,0,87.48960876464844,0.7664483785629272,21,30221,2.7892909049987793,0.015525882132351398,168,130,179,130,344,121,1159,333
62.32075119018555,84.34925079345703,11.591859817504883,0,0,87.48960876464844,0.7664483785629272,21,30321,2.8110597133636475,0.015209851786494255,168,130,179,130,344,121,1159,333
