time,x,y,z,yaw,setpoint_x,setpoint_y,setpoint_z,setpoint_yaw,setpoint_speed,current_speed,mode,distance_to_target
3.168,-3.611703,-1.301116,2.093020,0.000000,-3.611703,-1.301116,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.200,-3.611702,-1.301115,2.105285,0.000000,-3.611702,-1.301115,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.232,-3.611702,-1.301115,2.117420,0.000000,-3.611702,-1.301115,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.264,-3.611701,-1.301114,2.129428,0.000000,-3.611701,-1.301114,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.296,-3.611701,-1.301114,2.141309,0.000000,-3.611701,-1.301114,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.328,-3.611700,-1.301113,2.153064,0.000000,-3.611700,-1.301113,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.360,-3.611700,-1.301112,2.164694,0.000000,-3.611700,-1.301112,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.392,-3.611699,-1.301112,2.176199,0.000000,-3.611699,-1.301112,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.424,-3.611699,-1.301112,2.187580,0.000000,-3.611699,-1.301112,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.456,-3.611698,-1.301111,2.198839,0.000000,-3.611698,-1.301111,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.488,-3.611698,-1.301111,2.209975,0.000000,-3.611698,-1.301111,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.520,-3.611697,-1.301111,2.220989,0.000000,-3.611697,-1.301111,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.552,-3.611697,-1.301110,2.231883,0.000000,-3.611697,-1.301110,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.584,-3.611697,-1.301110,2.242656,0.000000,-3.611697,-1.301110,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.616,-3.611696,-1.301110,2.253311,0.000000,-3.611696,-1.301110,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.648,-3.611696,-1.301110,2.263846,0.000000,-3.611696,-1.301110,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.680,-3.611696,-1.301110,2.274263,0.000000,-3.611696,-1.301110,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.712,-3.611696,-1.301109,2.284563,0.000000,-3.611696,-1.301109,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.744,-3.611695,-1.301109,2.294746,0.000000,-3.611695,-1.301109,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.776,-3.611695,-1.301109,2.304814,0.000000,-3.611695,-1.301109,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.808,-3.611695,-1.301109,2.314765,0.000000,-3.611695,-1.301109,2.000000,0.000000,0.000,0.000,IDLE,11.026
3.840,-3.611695,-1.301109,2.324602,-0.000000,-3.611695,-1.301109,2.000000,-0.000000,0.000,0.000,IDLE,11.026
3.872,-3.611694,-1.301109,2.334324,-0.000000,-3.611694,-1.301109,2.000000,-0.000000,0.000,0.000,IDLE,11.026
3.904,-3.611694,-1.301109,2.343933,-0.000000,-3.611694,-1.301109,2.000000,-0.000000,0.000,0.000,IDLE,11.026
3.936,-3.611694,-1.301109,2.353429,-0.000000,-3.611694,-1.301109,2.000000,-0.000000,0.000,0.000,IDLE,11.026
3.968,-3.611694,-1.301109,2.362812,-0.000000,-3.611694,-1.301109,2.000000,-0.000000,0.000,0.000,IDLE,11.026
4.000,-3.611693,-1.301109,2.372084,-0.000000,-3.611693,-1.301109,2.000000,-0.000000,0.000,0.000,IDLE,11.026
4.032,-3.611693,-1.301109,2.381244,-0.000000,-3.611693,-1.301109,2.000000,-0.000000,0.000,0.000,IDLE,11.026
4.064,-3.611693,-1.301109,2.390293,-0.000000,-3.611693,-1.301109,2.000000,-0.000000,0.000,0.000,IDLE,11.026
4.096,-3.611692,-1.301108,2.399232,-0.000000,-3.611692,-1.301108,2.000000,-0.000000,0.000,0.000,IDLE,11.026
4.128,-3.611692,-1.301108,2.408062,-0.000000,-3.611692,-1.301108,2.000000,-0.000000,0.000,0.000,IDLE,11.026
4.160,-3.611691,-1.301108,2.416782,-0.000000,-3.611691,-1.301108,2.000000,-0.000000,0.000,0.000,IDLE,11.026
4.192,-3.611691,-1.301108,2.425393,-0.000000,-3.611691,-1.301108,2.000000,-0.000000,0.000,0.000,IDLE,11.026
4.224,-3.611691,-1.301107,2.433897,-0.000000,-3.611691,-1.301107,2.000000,-0.000000,0.000,0.000,IDLE,11.026
4.256,-3.611690,-1.301107,2.442292,-0.000000,-3.611690,-1.301107,2.000000,-0.000000,0.000,0.000,IDLE,11.026
4.288,-3.611689,-1.301106,2.450581,-0.000000,-3.611689,-1.301106,2.000000,-0.000000,0.000,0.000,IDLE,11.026
4.320,-3.611689,-1.301106,2.458763,-0.000000,-3.611689,-1.301106,2.000000,-0.000000,0.000,0.000,IDLE,11.026
4.352,-3.611688,-1.301106,2.466838,-0.000000,-3.611688,-1.301106,2.000000,-0.000000,0.000,0.000,IDLE,11.026
4.384,-3.611688,-1.301105,2.474808,-0.000000,-3.611688,-1.301105,2.000000,-0.000000,0.000,0.000,IDLE,11.026
4.416,-3.611687,-1.301105,2.482673,-0.000000,-3.611687,-1.301105,2.000000,-0.000000,0.000,0.000,IDLE,11.026
4.448,-3.611687,-1.301104,2.490432,-0.000000,-3.611687,-1.301104,2.000000,-0.000000,0.000,0.000,IDLE,11.026
4.480,-3.611686,-1.301103,2.498088,-0.000000,-3.611686,-1.301103,2.000000,-0.000000,0.000,0.000,IDLE,11.026
4.512,-3.611685,-1.301103,2.505639,-0.000000,-3.611685,-1.301103,2.000000,-0.000000,0.000,0.000,IDLE,11.026
4.544,-3.611685,-1.301102,2.513087,-0.000000,-3.611685,-1.301102,2.000000,-0.000000,0.000,0.000,IDLE,11.026
4.576,-3.611684,-1.301102,2.520431,0.000000,-3.611684,-1.301102,2.000000,0.000000,0.000,0.000,IDLE,11.026
4.608,-3.611683,-1.301101,2.527673,0.000000,-3.611683,-1.301101,2.000000,0.000000,0.000,0.000,IDLE,11.026
4.640,-3.611683,-1.301100,2.534813,0.000000,-3.611683,-1.301100,2.000000,0.000000,0.000,0.000,IDLE,11.026
4.672,-3.611682,-1.301100,2.541851,0.000000,-3.611682,-1.301100,2.000000,0.000000,0.000,0.000,IDLE,11.026
4.704,-3.611682,-1.301099,2.548787,0.000000,-3.611682,-1.301099,2.000000,0.000000,0.000,0.000,IDLE,11.026
4.736,-3.611681,-1.301099,2.555622,0.000000,-3.611681,-1.301099,2.000000,0.000000,0.000,0.000,IDLE,11.026
4.768,-3.611681,-1.301098,2.562357,0.000000,-3.611681,-1.301098,2.000000,0.000000,0.000,0.000,IDLE,11.026
4.800,-3.611680,-1.301098,2.568991,0.000000,-3.611680,-1.301098,2.000000,0.000000,0.000,0.000,IDLE,11.026
4.832,-3.611680,-1.301098,2.575525,0.000000,-3.611680,-1.301098,2.000000,0.000000,0.000,0.000,IDLE,11.026
4.864,-3.611679,-1.301097,2.581960,0.000000,-3.611679,-1.301097,2.000000,0.000000,0.000,0.000,IDLE,11.026
4.896,-3.611679,-1.301097,2.588295,0.000000,-3.611679,-1.301097,2.000000,0.000000,0.000,0.000,IDLE,11.026
4.928,-3.611678,-1.301097,2.594531,0.000000,-3.611678,-1.301097,2.000000,0.000000,0.000,0.000,IDLE,11.026
4.960,-3.611678,-1.301096,2.600669,0.000000,-3.611678,-1.301096,2.000000,0.000000,0.000,0.000,IDLE,11.026
4.992,-3.611678,-1.301096,2.606708,0.000000,-3.611678,-1.301096,2.000000,0.000000,0.000,0.000,IDLE,11.026
5.024,-3.611677,-1.301096,2.612650,0.000000,-3.611677,-1.301096,2.000000,0.000000,0.000,0.000,IDLE,11.026
5.056,-3.611677,-1.301096,2.618494,0.000000,-3.611677,-1.301096,2.000000,0.000000,0.000,0.000,IDLE,11.026
