time,x,y,z,yaw_deg,cmd_yaw_deg,forward_speed,bearing_angle,bearing_valid,bearing_weight,grad_angle,grad_mag,grad_valid,grad_weight,map_size,total_light,dist_to_target
2.816,-3.611709,-1.301122,1.949376,-0.0000,-0.0000,0.000,54.8885,1,1.00,0.0000,0.0000,0,0.00,0,612.189,11.0265
2.848,-3.611708,-1.301121,1.963114,-0.0000,-0.0000,0.000,54.8886,1,1.00,0.0000,0.0000,0,0.00,0,612.058,11.0265
2.880,-3.611708,-1.301121,1.976713,-0.0000,-0.0000,0.000,54.8886,1,1.00,0.0000,0.0000,0,0.00,0,611.926,11.0265
2.912,-3.611707,-1.301120,1.990174,-0.0000,-0.0000,0.000,54.8887,1,1.00,0.0000,0.0000,0,0.00,0,611.792,11.0265
2.944,-3.611707,-1.301120,2.003498,-0.0000,-0.0000,0.000,54.8888,1,1.00,0.0000,0.0000,0,0.00,0,611.657,11.0265
2.976,-3.611706,-1.301119,2.016687,-0.0000,-0.0000,0.000,54.8888,1,1.00,0.0000,0.0000,0,0.00,0,611.521,11.0265
3.008,-3.611706,-1.301119,2.029741,-0.0000,-0.0000,0.000,54.8889,1,1.00,0.0000,0.0000,0,0.00,0,611.383,11.0265
3.040,-3.611705,-1.301118,2.042661,-0.0000,-0.0000,0.000,54.8890,1,1.00,0.0000,0.0000,0,0.00,0,611.244,11.0265
3.072,-3.611705,-1.301118,2.055448,-0.0000,-0.0000,0.000,54.8891,1,1.00,0.0000,0.0000,0,0.00,0,611.105,11.0265
3.104,-3.611704,-1.301117,2.068103,-0.0000,-0.0000,0.000,54.8891,1,1.00,0.0000,0.0000,0,0.00,0,610.964,11.0265
3.136,-3.611703,-1.301116,2.080627,-0.0000,-0.0000,0.000,54.8892,1,1.00,0.0000,0.0000,0,0.00,0,610.822,11.0265
3.168,-3.611703,-1.301116,2.093020,0.0000,0.0000,0.000,54.8893,1,1.00,0.0000,0.0000,0,0.00,0,610.679,11.0265
3.200,-3.611702,-1.301115,2.105285,0.0000,0.0000,0.000,54.8894,1,1.00,0.0000,0.0000,0,0.00,0,610.536,11.0265
3.232,-3.611702,-1.301115,2.117420,0.0000,0.0000,0.000,54.8894,1,1.00,0.0000,0.0000,0,0.00,0,610.391,11.0265
3.264,-3.611701,-1.301114,2.129428,0.0000,0.0000,0.000,54.8895,1,1.00,0.0000,0.0000,0,0.00,0,610.246,11.0265
3.296,-3.611701,-1.301114,2.141309,0.0000,0.0000,0.000,54.8896,1,1.00,0.0000,0.0000,0,0.00,0,610.101,11.0265
3.328,-3.611700,-1.301113,2.153064,0.0000,0.0000,0.000,54.8897,1,1.00,0.0000,0.0000,0,0.00,0,609.955,11.0265
3.360,-3.611700,-1.301112,2.164694,0.0000,0.0000,0.000,54.8897,1,1.00,0.0000,0.0000,0,0.00,0,609.808,11.0265
3.392,-3.611699,-1.301112,2.176199,0.0000,0.0000,0.000,54.8898,1,1.00,0.0000,0.0000,0,0.00,0,609.661,11.0265
3.424,-3.611699,-1.301112,2.187580,0.0000,0.0000,0.000,54.8899,1,1.00,0.0000,0.0000,0,0.00,0,609.514,11.0265
3.456,-3.611698,-1.301111,2.198839,0.0000,0.0000,0.000,54.8900,1,1.00,0.0000,0.0000,0,0.00,0,609.366,11.0265
3.488,-3.611698,-1.301111,2.209975,0.0000,0.0000,0.000,54.8900,1,1.00,0.0000,0.0000,0,0.00,0,609.218,11.0265
3.520,-3.611697,-1.301111,2.220989,0.0000,0.0000,0.000,54.8901,1,1.00,0.0000,0.0000,0,0.00,0,609.069,11.0265
3.552,-3.611697,-1.301110,2.231883,0.0000,0.0000,0.000,54.8902,1,1.00,0.0000,0.0000,0,0.00,0,608.921,11.0265
3.584,-3.611697,-1.301110,2.242656,0.0000,0.0000,0.000,54.8903,1,1.00,0.0000,0.0000,0,0.00,0,608.772,11.0265
3.616,-3.611696,-1.301110,2.253311,0.0000,0.0000,0.000,54.8904,1,1.00,0.0000,0.0000,0,0.00,0,608.623,11.0265
3.648,-3.611696,-1.301110,2.263846,0.0000,0.0000,0.000,54.8904,1,1.00,0.0000,0.0000,0,0.00,0,608.474,11.0265
3.680,-3.611696,-1.301110,2.274263,0.0000,0.0000,0.000,54.8905,1,1.00,0.0000,0.0000,0,0.00,0,608.325,11.0265
3.712,-3.611696,-1.301109,2.284563,0.0000,0.0000,0.000,54.8906,1,1.00,0.0000,0.0000,0,0.00,0,608.176,11.0265
3.744,-3.611695,-1.301109,2.294746,0.0000,0.0000,0.000,54.8907,1,1.00,0.0000,0.0000,0,0.00,0,608.028,11.0265
3.776,-3.611695,-1.301109,2.304814,0.0000,0.0000,0.000,54.8907,1,1.00,0.0000,0.0000,0,0.00,0,607.879,11.0265
3.808,-3.611695,-1.301109,2.314765,0.0000,0.0000,0.000,54.8908,1,1.00,0.0000,0.0000,0,0.00,0,607.731,11.0265
3.840,-3.611695,-1.301109,2.324602,-0.0000,-0.0000,0.000,54.8909,1,1.00,0.0000,0.0000,0,0.00,0,607.583,11.0265
3.872,-3.611694,-1.301109,2.334324,-0.0000,-0.0000,0.000,54.8910,1,1.00,0.0000,0.0000,0,0.00,0,607.435,11.0265
3.904,-3.611694,-1.301109,2.343933,-0.0000,-0.0000,0.000,54.8910,1,1.00,0.0000,0.0000,0,0.00,0,607.288,11.0265
3.936,-3.611694,-1.301109,2.353429,-0.0000,-0.0000,0.000,54.8911,1,1.00,0.0000,0.0000,0,0.00,0,607.141,11.0265
3.968,-3.611694,-1.301109,2.362812,-0.0000,-0.0000,0.000,54.8912,1,1.00,0.0000,0.0000,0,0.00,0,606.994,11.0265
4.000,-3.611693,-1.301109,2.372084,-0.0000,-0.0000,0.000,54.8913,1,1.00,0.0000,0.0000,0,0.00,0,606.848,11.0265
4.032,-3.611693,-1.301109,2.381244,-0.0000,-0.0000,0.000,54.8913,1,1.00,0.0000,0.0000,0,0.00,0,606.702,11.0265
4.064,-3.611693,-1.301109,2.390293,-0.0000,-0.0000,0.000,54.8914,1,1.00,0.0000,0.0000,0,0.00,0,606.557,11.0265
4.096,-3.611692,-1.301108,2.399232,-0.0000,-0.0000,0.000,54.8915,1,1.00,0.0000,0.0000,0,0.00,0,606.413,11.0265
4.128,-3.611692,-1.301108,2.408062,-0.0000,-0.0000,0.000,54.8915,1,1.00,0.0000,0.0000,0,0.00,0,606.269,11.0265
4.160,-3.611691,-1.301108,2.416782,-0.0000,-0.0000,0.000,54.8916,1,1.00,0.0000,0.0000,0,0.00,0,606.126,11.0265
4.192,-3.611691,-1.301108,2.425393,-0.0000,-0.0000,0.000,54.8917,1,1.00,0.0000,0.0000,0,0.00,0,605.983,11.0265
4.224,-3.611691,-1.301107,2.433897,-0.0000,-0.0000,0.000,54.8918,1,1.00,0.0000,0.0000,0,0.00,0,605.842,11.0265
4.256,-3.611690,-1.301107,2.442292,-0.0000,-0.0000,0.000,54.8918,1,1.00,0.0000,0.0000,0,0.00,0,605.701,11.0265
4.288,-3.611689,-1.301106,2.450581,-0.0000,-0.0000,0.000,54.8919,1,1.00,0.0000,0.0000,0,0.00,0,605.561,11.0265
4.320,-3.611689,-1.301106,2.458763,-0.0000,-0.0000,0.000,54.8920,1,1.00,0.0000,0.0000,0,0.00,0,605.421,11.0265
4.352,-3.611688,-1.301106,2.466838,-0.0000,-0.0000,0.000,54.8920,1,1.00,0.0000,0.0000,0,0.00,0,605.283,11.0265
4.384,-3.611688,-1.301105,2.474808,-0.0000,-0.0000,0.000,54.8921,1,1.00,0.0000,0.0000,0,0.00,0,605.146,11.0265
4.416,-3.611687,-1.301105,2.482673,-0.0000,-0.0000,0.000,54.8922,1,1.00,0.0000,0.0000,0,0.00,0,605.009,11.0265
4.448,-3.611687,-1.301104,2.490432,-0.0000,-0.0000,0.000,54.8923,1,1.00,0.0000,0.0000,0,0.00,0,604.874,11.0265
4.480,-3.611686,-1.301103,2.498088,-0.0000,-0.0000,0.000,54.8923,1,1.00,0.0000,0.0000,0,0.00,0,604.739,11.0265
